행정동,VDI,65세이상,0-9세,취약인구합계,최근접병원,최근접거리km
중구 삼덕동,188.78,982,386,1368,경북대학교병원,0.138
중구 성내1동,629.75,943,128,1071,경북대학교병원,0.588
중구 성내2동,2342.7,1381,674,2055,계명대학교 동산병원,1.14
중구 성내3동,3622.43,1499,2109,3608,계명대학교 동산병원,1.004
중구 대신동,319.79,1701,567,2268,계명대학교 동산병원,0.141
중구 남산1동,1581.2,1041,307,1348,경북대학교병원,1.173
중구 남산2동,1940.06,1264,734,1998,계명대학교 동산병원,0.971
중구 남산3동,2027.02,1648,277,1925,계명대학교 동산병원,1.053
중구 남산4동,3208.84,3567,1332,4899,계명대학교 동산병원,0.655
중구 대봉1동,1741.95,1681,524,2205,경북대학교병원,0.79
중구 대봉2동,1594.4,1029,525,1554,경북대학교병원,1.026
중구 동인동,1132.49,2075,615,2690,구병원,0.421
동구 신암1동,5481.71,2839,840,3679,우리아이아동병원,1.49
동구 신암2동,2753.97,2715,923,3638,구병원,0.757
동구 신암3동,4386.5,2281,1154,3435,구병원,1.277
동구 신암4동,9860.5,3933,1192,5125,강남종합병원,1.924
동구 신암5동,3400.44,2244,392,2636,강남종합병원,1.29
동구 신천1·2동,1506.54,3830,275,4105,구병원,0.367
동구 신천3동,3574.82,2726,1077,3803,구병원,0.94
동구 신천4동,5089.32,2285,880,3165,구병원,1.608
동구 효목1동,4193.28,4391,217,4608,강남종합병원,0.91
동구 효목2동,7907.87,3942,669,4611,강남종합병원,1.715
동구 도평동,7105.23,1214,63,1277,강남종합병원,5.564
동구 불로·봉무동,19760.73,4291,1192,5483,강남종합병원,3.604
동구 지저동,5732.4,4374,317,4691,강남종합병원,1.222
동구 동촌동,4196.73,4454,443,4897,강남종합병원,0.857
동구 방촌동,12420.63,5768,461,6229,강남종합병원,1.994
동구 해안동,16787.48,4506,367,4873,강남종합병원,3.445
동구 공산동,71226.06,6279,986,7265,강남종합병원,9.804
동구 안심1동,3539.22,9788,1816,11604,율하연합소아청소년과의원,0.305
동구 안심2동,23115.9,3653,1186,4839,율하연합소아청소년과의원,4.777
동구 안심4동,15570.91,5616,1326,6942,율하연합소아청소년과의원,2.243
서구 내당1동,2465.23,2968,1034,4002,대구의료원,0.616
서구 내당2·3동,1926.27,3013,150,3163,계명대학교 동산병원,0.609
서구 내당4동,2659.93,4517,293,4810,대구의료원,0.553
서구 비산1동,5706.51,2774,136,2910,계명대학교 동산병원,1.961
서구 비산2·3동,3789.82,3197,110,3307,계명대학교 동산병원,1.146
서구 비산4동,1830.1,2875,140,3015,계명대학교 동산병원,0.607
서구 비산5동,4804.31,1964,83,2047,계명대학교 동산병원,2.347
서구 비산6동,3073.28,2314,104,2418,계명대학교 동산병원,1.271
서구 비산7동,8819.64,2910,289,3199,대구의료원,2.757
서구 평리1동,3675.78,2259,114,2373,계명대학교 동산병원,1.549
서구 평리2동,2557.17,2010,245,2255,계명대학교 동산병원,1.134
서구 평리3동,6039.3,3227,741,3968,대구의료원,1.522
서구 평리4동,2902.18,4298,499,4797,대구의료원,0.605
서구 평리5동,3199.9,1367,1521,2888,대구의료원,1.108
서구 평리6동,3089.77,1292,355,1647,대구의료원,1.876
서구 상중이동,11750.45,4972,524,5496,대구의료원,2.138
