행정동번호,개정일자,연결번호,행정동코드,행정동명,배경여부,최상위행정동코드,부모행정동코드,순번
841,2018-07-23,841,22,대구광역시,N,22,,842
842,2018-07-23,842,22010,중구,N,22,22010,843
843,2018-07-23,843,2201070,동인동,N,22,22010,844
844,2018-07-23,843,2201070,동인동,N,22,22010,845
845,2018-07-23,845,2201054,삼덕동,N,22,22010,846
846,2018-07-23,846,2201056,성내1동,N,22,22010,847
847,2018-07-23,847,2201059,성내2동,N,22,22010,848
848,2018-07-23,848,2201061,성내3동,N,22,22010,849
849,2018-07-23,849,2201062,대신동,N,22,22010,850
850,2018-07-23,850,2201064,남산1동,N,22,22010,851
851,2018-07-23,851,2201065,남산2동,N,22,22010,852
852,2018-07-23,852,2201066,남산3동,N,22,22010,853
853,2018-07-23,853,2201067,남산4동,N,22,22010,854
854,2018-07-23,854,2201068,대봉1동,N,22,22010,855
855,2018-07-23,855,2201069,대봉2동,N,22,22010,856
857,2018-07-23,857,22020,동구,N,22,22020,858
858,2018-07-23,858,2202051,신암1동,N,22,22020,859
859,2018-07-23,859,2202052,신암2동,N,22,22020,860
860,2018-07-23,860,2202053,신암3동,N,22,22020,861
861,2018-07-23,861,2202054,신암4동,N,22,22020,862
862,2018-07-23,862,2202055,신암5동,N,22,22020,863
863,2018-07-23,863,2202056,신천1·2동,N,22,22020,864
864,2018-07-23,864,2202058,신천3동,N,22,22020,865
865,2018-07-23,865,2202059,신천4동,N,22,22020,866
866,2018-07-23,866,2202060,효목1동,N,22,22020,867
867,2018-07-23,867,2202061,효목2동,N,22,22020,868
868,2018-07-23,868,2202062,도평동,N,22,22020,869
869,2018-07-23,869,2202063,불로·봉무동,N,22,22020,870
870,2018-07-23,870,2202065,지저동,N,22,22020,871
871,2018-07-23,871,2202066,동촌동,N,22,22020,872
872,2018-07-23,872,2202068,방촌동,N,22,22020,873
873,2018-07-23,873,2202069,해안동,N,22,22020,874
874,2018-07-23,874,2202071,공산동,N,22,22020,875
875,2018-07-23,875,2202073,안심1동,N,22,22020,876
876,2018-07-23,876,2202074,안심2동,N,22,22020,877
877,2018-07-23,877,2202075,안심3·4동,N,22,22020,878
879,2018-07-23,879,22030,서구,N,22,22030,882
880,2018-07-23,880,2203051,내당1동,N,22,22030,883
881,2018-07-23,881,2203052,내당2·3동,N,22,22030,884
882,2018-07-23,882,2203053,내당4동,N,22,22030,885
883,2018-07-23,883,2203054,비산1동,N,22,22030,886
884,2018-07-23,884,2203055,비산2·3동,N,22,22030,887
885,2018-07-23,885,2203056,비산4동,N,22,22030,888
886,2018-07-23,886,2203057,비산5동,N,22,22030,889
887,2018-07-23,887,2203058,비산6동,N,22,22030,890
888,2018-07-23,888,2203059,비산7동,N,22,22030,891
889,2018-07-23,889,2203060,평리1동,N,22,22030,892
890,2018-07-23,890,2203061,평리2동,N,22,22030,893
891,2018-07-23,891,2203062,평리3동,N,22,22030,894
892,2018-07-23,892,2203063,평리4동,N,22,22030,895
893,2018-07-23,893,2203064,평리5동,N,22,22030,896
894,2018-07-23,894,2203065,평리6동,N,22,22030,897
895,2018-07-23,895,2203066,상중이동,N,22,22030,898
896,2018-07-23,896,2203068,원대동,N,22,22030,899
898,2018-07-23,898,22040,남구,N,22,22040,901
899,2018-07-23,899,2204051,이천동,N,22,22040,902
900,2018-07-23,900,2204053,봉덕1동,N,22,22040,903
901,2018-07-23,901,2204054,봉덕2동,N,22,22040,904
902,2018-07-23,902,2204055,봉덕3동,N,22,22040,905
903,2018-07-23,903,2204056,대명1동,N,22,22040,906
