시도,시군구,어린이집유형,어린이집명,전화번호,주소,latitude,longitude
대구광역시,중구,민간,효성해링턴어린이집,053-256-2005,"대구광역시 중구 중앙대로66길 20 , 102동 1층 (남산동, 반월당효성해링턴플레이스)",35.8621455,128.5951679
대구광역시,중구,국공립,남산롯데센트럴어린이집,053-252-1277,대구광역시 중구 재마루길 77 105동,35.87153,128.60154500000002
대구광역시,중구,국공립,남산이편한어린이집,053-256-2222,"대구광역시 중구 달구벌대로 2020 103동 1층(남산동, 이편한세상남산)",35.871629999999996,128.60164500000002
대구광역시,중구,"법인,단체등",남산교회어린이집,053-253-0130,대구광역시 중구 관덕정길 16 (남산동),35.8637752,128.5909183
대구광역시,중구,민간,대구삼성어린이집,053-255-7851,대구광역시 중구 달구벌대로 2016-40 (남산동),35.865561,128.5960054
대구광역시,중구,민간,리틀포레스트어린이집,053-427-5981,대구광역시 중구 중앙대로67길 11,35.8631649,128.5921731
대구광역시,중구,사회복지법인,백합어린이집,053-256-6862,대구광역시 중구 남산로4길 111 (남산동),35.8589323,128.584882
대구광역시,중구,민간,스타클래스어린이집,053-242-5511,"대구광역시 중구 남산로 30 , 103동 1층 (남산동,극동스타클래스남산)",35.8605291,128.5841284
대구광역시,중구,국공립,그린숲어린이집,053-426-7902,"대구광역시 중구 달구벌대로 1950 106동 1호(남산동, 남산그린타운)",35.872229999999995,128.602245
대구광역시,중구,국공립,꿈나무어린이집,053-252-0655,대구광역시 중구 남산로7길 35 (남산동),35.860151,128.5790852
대구광역시,중구,국공립,남산자이하늘채어린이집,053-252-3456,"대구광역시 중구 명덕로 33 (남산동, 남산자이하늘채)",35.8589068,128.5777712
대구광역시,중구,국공립,남산화성어린이집,053-421-1101,"대구광역시 중구 남산로7길 7 (남산동, 남산역화성파크드림)",35.860151,128.5790852
대구광역시,중구,국공립,동그라미어린이집,053-959-7942,"대구광역시 중구 달구벌대로 1960 , 103동 101호(남산동, 남산휴먼시아1단지)",35.8663532,128.5878388
대구광역시,중구,국공립,청라힐스자이어린이집,053-255-2366,"대구광역시 중구 남산로 73 남산동, 청라힐스자이",35.87273,128.602745
대구광역시,중구,민간,아이비어린이집,053-421-7978,대구광역시 중구 남산로3안길 20 (남산동),35.8603434,128.5774516
대구광역시,중구,가정,황실친환경어린이집,053-253-6673,"대구광역시 중구 남산로13길 17 , 105동 109호 (남산동,보성황실타운)",35.861544,128.5805848
대구광역시,중구,국공립,센트로팰리스어린이집,053-254-3307,"대구광역시 중구 대봉로 260 103동 1층(대봉동, 센트로팰리스)",35.87303,128.603045
대구광역시,중구,국공립,태왕아름별어린이집,053-253-7977,"대구광역시 중구 동덕로 55 (대봉동, 대봉태왕아너스)",35.8598783,128.6049093
대구광역시,중구,민간,서한포레스트어린이집,053-425-5777,대구광역시 중구 대봉로 240,35.8558086,128.6017927
대구광역시,중구,민간,창의나라어린이집,053-248-8845,대구광역시 중구 대봉로 228-9 (대봉동),35.85979,128.6004709
대구광역시,중구,국공립,대봉더샵가온어린이집,053-252-0179,대구광역시 중구 대봉로43길 21,35.8574269,128.6006733
대구광역시,중구,국공립,대봉리비테르어린이집,053-201-8889,"대구광역시 중구 대봉로43길 22 (대봉동, 더샵리비테르2차아파트)",35.8574269,128.6006733
대구광역시,중구,국공립,대봉서한어린이집,053-422-0707,대구광역시 중구 명덕로 241,35.8585019,128.5786921
대구광역시,중구,국공립,대신e편한어린이집,053-423-5700,"대구광역시 중구 달구벌대로 1943 (대신동,이편한세상대신)",35.865561,128.5960054
대구광역시,중구,민간,밤비니어린이집,053-255-3237,"대구광역시 중구 달구벌대로 1955 , 107동 1층 (대신동, 대신센트럴자이)",35.8638665,128.5777187
대구광역시,중구,가정,태왕아이사랑어린이집,053-215-7004,"대구광역시 중구 달구벌대로 1975 , 105동 102호 (대신동,태왕아너스스카이)",35.8663532,128.5878388
대구광역시,중구,국공립,센트럴동인어린이집,053-254-1238,"대구광역시 중구 국채보상로139길 40 동인동3가, 엑소디움 센트럴 동인",35.87403,128.604045
대구광역시,중구,국공립,힐스테이트동인어린이집,053-256-5068,대구광역시 중구 태평로 240,35.8733171,128.6030006
대구광역시,중구,민간,칸타빌어린이집,053-719-4297,대구광역시 중구 태평로 224,35.8733171,128.6030006
대구광역시,중구,직장,경북대학교병원어린이집,053-261-1710,대구광역시 중구 국채보상로140길 24-7(동인동 2가),35.8679557,128.6070432
대구광역시,중구,직장,대구광역시청어린이집,053-803-5638,대구광역시 중구 동덕로 182 (동인동1가),35.8647266,128.6038729
대구광역시,중구,민간,삼덕청아람어린이집,053-252-5234,대구광역시 중구 삼덕동3가 달구벌대로447길 77 삼덕청아람리슈빌 내 의무보육시설,35.87453,128.604545
대구광역시,중구,국공립,힐스테이트어린이집,053-255-5520,대구광역시 중구 태평로28길 13,35.8749178,128.5918405
대구광역시,중구,가정,청라포레스트어린이집,053-213-3303,대구광역시 중구 달구벌대로 2021 1층,35.87473,128.604745
대구광역시,중구,국공립,달성파크어린이집,053-521-8011,대구광역시 중구 달성로 123,35.8737513,128.5824561
대구광역시,중구,국공립,도원센트럴어린이집,053-427-7433,대구광역시 중구 태평로 50,35.8773475,128.585243
대구광역시,중구,국공립,제일풍경채어린이집,053-217-0771,대구광역시 중구 달성로26길 70,35.875597,128.5852586
대구광역시,중구,민간,센트럴자이어린이집,053-252-1125,"대구광역시 중구 서성로 99 , 1층 보육시설(수창동, 대구역센트럴자이)",35.8760274,128.5879757
대구광역시,동구,국공립,뉴웰시티꿈의숲어린이집,053-962-9970,"대구광역시 동구 동화천로77길 30 (지묘동, LH뉴웰시티)",35.9416276,128.6329488
대구광역시,동구,국공립,아이파크라라어린이집,053-983-2323,"대구광역시 동구 동화천로 369 103동 1층(지묘동, 연경아이파크)",35.87533,128.605345
대구광역시,동구,국공립,연경푸르미어린이집,053-982-0200,"대구광역시 동구 연경지묘로 153 203동 1층(지묘동, 연경LH천년나무2단지)",35.875429999999994,128.605445
대구광역시,동구,국공립,팔공보성어린이집,053-981-6700,"대구광역시 동구 파계로 71 (지묘동, 팔공3차보성타운)",35.958406,128.6323783
대구광역시,동구,민간,빛나는별어린이집,053-986-0909,대구광역시 동구 파계로6길 54-12 .,35.9388706,128.6404503
대구광역시,동구,가정,솔파란어린이집,053-213-8870,"대구광역시 동구 파계로 46 103동 105호(지묘동, 태왕그린힐즈아파트)",35.87573,128.605745
대구광역시,동구,국공립,도동어린이집,053-983-7652,대구광역시 동구 팔공로26길 46 (도동),35.9100078,128.6421417
대구광역시,동구,직장,광성어린이집,053-983-7962,대구광역시 동구 둔산로 311-1,35.8861798,128.6765549
대구광역시,동구,국공립,동촌태왕어린이집,053-984-9989,"대구광역시 동구 동촌로 100 (검사동, 태왕아너스르네상스)",35.8901085,128.6485845
대구광역시,동구,국공립,봄어린이집,053-982-3669,대구광역시 동구 동촌로11길 5 동촌동행정복지센터 1층(입석동),35.876129999999996,128.60614500000003
대구광역시,동구,사회복지법인,해안어린이집,053-981-9406,대구광역시 동구 방촌로 69 (검사동),35.8854597,128.6598005
대구광역시,동구,민간,다사랑어린이집,053-984-0097,대구광역시 동구 동촌로6길 44-1 (검사동),35.876329999999996,128.606345
대구광역시,동구,민간,푸른하늘어린이집,053-985-4693,대구광역시 동구 방촌로1길 27-1 (검사동),35.8841204,128.6644023
대구광역시,동구,가정,우리어린이집,053-986-3339,대구광역시 동구 동촌로 132-19 (검사동),35.8840477,128.6590885
대구광역시,동구,사회복지법인,사회복지법인주홍어린이집,053-985-3636,대구광역시 동구 화랑로75길 25-3 (방촌동),35.8791008,128.6664282
대구광역시,동구,민간,늘푸른어린이집,053-981-7383,대구광역시 동구 동촌로46길 3-3 (방촌동),35.8792855,128.6644518
대구광역시,동구,민간,세리어린이집,053-961-7979,"대구광역시 동구 동촌로 260 104동(방촌동,방촌역세영리첼아파트)",35.87683,128.60684500000002
대구광역시,동구,가정,꼬마스쿨어린이집,053-983-1157,"대구광역시 동구 동촌로42길 63 202동 105호(방촌동, 영남네오빌2차)",35.876929999999994,128.60694500000002
대구광역시,동구,가정,목련화어린이집,053-985-9334,"대구광역시 동구 동촌로 190 106동 109호(방촌동, 영남네오빌1차)",35.87703,128.607045
대구광역시,동구,국공립,봉무어린이집,053-982-9829,대구광역시 동구 팔공로53길 36 (봉무동),35.9180611,128.6392662
대구광역시,동구,국공립,이시아어린이집,053-984-0130,"대구광역시 동구 팔공로51길 10 303동 103호(봉무동,이시아폴리스더샵3차)",35.87723,128.607245
대구광역시,동구,국공립,휴포레사랑어린이집,053-984-1500,"대구광역시 동구 팔공로 260 202동 1층(봉무동, 협성휴포레이시아폴리스)",35.87732999999999,128.607345
대구광역시,동구,사회복지법인,사회복지법인세명어린이집,053-984-4422,대구광역시 동구 팔공로23길 17-1 (불로동),35.87743,128.607445
대구광역시,동구,민간,더샵드림어린이집,053-982-6029,"대구광역시 동구 팔공로51길 10 (봉무동, 이시아폴리스더샵3차 관리동)",35.9231437,128.6382827
대구광역시,동구,민간,더샵어린이집,053-283-9400,대구광역시 동구 팔공로53길 10 이시아폴리스 더샵 1차,35.877629999999996,128.60764500000002
대구광역시,동구,민간,더샵인뮤즈어린이집,053-983-8833,대구광역시 동구 팔공로 274 봉무동 이시아폴리스 더샵 2차,35.87773,128.60774500000002
대구광역시,동구,민간,더샵초록숲어린이집,053-259-0098,"대구광역시 동구 팔공로53길 40 408동 1층(봉무동, 이시아폴리스더샵4차)",35.877829999999996,128.60784500000003
