암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y),설립구분코드,설립구분코드명,일반입원실상급병상수,일반입원실일반병상수,성인중환자병상수,소아중환자병상수,신생아중환자병상수,분만실병상수,수술실병상수,응급실병상수,물리치료실병상수,정신과폐쇄상급병상수,정신과폐쇄일반병상수,정신과개방상급병상수,정신과개방일반병상수,격리병실병상수,무균치료실병상수
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQxMyQyNjE0ODEjNDEjJDEjJDQjJDgz,(VOM)봄안과의원,31,의원,230000,대구,230002,대구동구,율하동,41151,"대구광역시 동구 안심로 58, 3층 (율하동, 율하메디빌)",053-963-9991,,2014-01-02 00:00:00,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.6918945,35.8698515,12,개인,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,(사)인구보건복지협회 가족보건의원,31,의원,230000,대구,230004,대구서구,평리동,41824,"대구광역시 서구 국채보상로46길 16, (평리동)",053-566-1903,,1985-04-01 00:00:00,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.5558143,35.8690138,08,사단법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDIjJDgz,(의) 열린의료재단 대구열린의원,31,의원,230000,대구,230006,대구중구,남산동,41967,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 5,6층 (남산동)",053-565-5501,,2011-04-25 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.5927741,35.8650479,11,의료법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,(의)서봉의료재단 보강병원,21,병원,230000,대구,230007,대구달서구,진천동,42801,"대구광역시 달서구 월배로 102, (진천동)",053-641-9200,http://www.bogang.co.kr/,1997-12-31 00:00:00,13,0,0,0,13,0,0,0,0,0,0,0,0,0,128.5256832,35.8137187,11,의료법인,2,158,0,0,0,0,5,0,22,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,(재)미리내천주성삼성직수도회천주성삼병원,11,종합병원,230000,대구,230005,대구수성구,신매동,42274,"대구광역시 수성구 달구벌대로 3190, (신매동, 천주성삼병원)",053-790-1000,,2003-01-24 00:00:00,22,0,0,0,22,0,0,0,0,0,0,0,0,0,128.7057102,35.8402518,09,재단법인,9,279,0,0,0,0,4,10,15,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,(재)서울의과학연구소 에스씨엘(SCL)대구의원,31,의원,230000,대구,230002,대구동구,효목동,41238,"대구광역시 동구 화랑로 95, 3,4층 (효목동)",053-759-9882,,2020-07-31 00:00:00,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.6369142,35.872863100000004,09,재단법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,(재)씨젠의료재단 씨젠대구의원,31,의원,230000,대구,230005,대구수성구,만촌동,42066,"대구광역시 수성구 달구벌대로 2619, 유성빌딩 4층 6층 7층층 (만촌동)",070-4146-6760,www.seegenemedical.com,2005-05-31 00:00:00,11,0,0,0,11,0,0,0,0,0,0,0,0,0,128.6489451,35.8578666,09,재단법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,(재)한국의학연구소대구분사무소부설의원,31,의원,230000,대구,230006,대구중구,남산동,41961,"대구광역시 중구 중앙대로66길 20, 지하1~2층 (남산동, 반월당효성해링턴플레이스)",430-5000,http://www.kmi.or.kr,2009-03-09 00:00:00,23,1,0,0,22,0,0,0,0,0,0,0,0,0,128.5939661,35.8614112,09,재단법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQxIyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,153세장수한의원,93,한의원,230000,대구,230005,대구수성구,수성동2가,42132,"대구광역시 수성구 명덕로 414, 6층 (수성동2가)",053-657-1075,,2004-03-31 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.6154705,35.8541453,12,개인,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,2080연합피부과의원,31,의원,230000,대구,230003,대구북구,침산동,41560,"대구광역시 북구 침산로 138, (침산동)",053-354-2800,,2008-03-14 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.5918283,35.8887489,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
