시도,시군구,어린이집유형,어린이집명,전화번호,주소
대구광역시,중구,민간,효성해링턴어린이집,053-256-2005,"대구광역시 중구 중앙대로66길 20 , 102동 1층 (남산동, 반월당효성해링턴플레이스)"
대구광역시,중구,국공립,남산롯데센트럴어린이집,053-252-1277,대구광역시 중구 재마루길 77 105동
대구광역시,중구,국공립,남산이편한어린이집,053-256-2222,"대구광역시 중구 달구벌대로 2020 103동 1층(남산동, 이편한세상남산)"
대구광역시,중구,"법인,단체등",남산교회어린이집,053-253-0130,대구광역시 중구 관덕정길 16 (남산동)
대구광역시,중구,민간,대구삼성어린이집,053-255-7851,대구광역시 중구 달구벌대로 2016-40 (남산동)
대구광역시,중구,민간,리틀포레스트어린이집,053-427-5981,대구광역시 중구 중앙대로67길 11
대구광역시,중구,사회복지법인,백합어린이집,053-256-6862,대구광역시 중구 남산로4길 111 (남산동)
대구광역시,중구,민간,스타클래스어린이집,053-242-5511,"대구광역시 중구 남산로 30 , 103동 1층 (남산동,극동스타클래스남산)"
대구광역시,중구,국공립,그린숲어린이집,053-426-7902,"대구광역시 중구 달구벌대로 1950 106동 1호(남산동, 남산그린타운)"
대구광역시,중구,국공립,꿈나무어린이집,053-252-0655,대구광역시 중구 남산로7길 35 (남산동)
대구광역시,중구,국공립,남산자이하늘채어린이집,053-252-3456,"대구광역시 중구 명덕로 33 (남산동, 남산자이하늘채)"
대구광역시,중구,국공립,남산화성어린이집,053-421-1101,"대구광역시 중구 남산로7길 7 (남산동, 남산역화성파크드림)"
대구광역시,중구,국공립,동그라미어린이집,053-959-7942,"대구광역시 중구 달구벌대로 1960 , 103동 101호(남산동, 남산휴먼시아1단지)"
대구광역시,중구,국공립,청라힐스자이어린이집,053-255-2366,"대구광역시 중구 남산로 73 남산동, 청라힐스자이"
대구광역시,중구,민간,아이비어린이집,053-421-7978,대구광역시 중구 남산로3안길 20 (남산동)
대구광역시,중구,가정,황실친환경어린이집,053-253-6673,"대구광역시 중구 남산로13길 17 , 105동 109호 (남산동,보성황실타운)"
대구광역시,중구,국공립,센트로팰리스어린이집,053-254-3307,"대구광역시 중구 대봉로 260 103동 1층(대봉동, 센트로팰리스)"
대구광역시,중구,국공립,태왕아름별어린이집,053-253-7977,"대구광역시 중구 동덕로 55 (대봉동, 대봉태왕아너스)"
대구광역시,중구,민간,서한포레스트어린이집,053-425-5777,대구광역시 중구 대봉로 240
대구광역시,중구,민간,창의나라어린이집,053-248-8845,대구광역시 중구 대봉로 228-9 (대봉동)
대구광역시,중구,국공립,대봉더샵가온어린이집,053-252-0179,대구광역시 중구 대봉로43길 21
대구광역시,중구,국공립,대봉리비테르어린이집,053-201-8889,"대구광역시 중구 대봉로43길 22 (대봉동, 더샵리비테르2차아파트)"
대구광역시,중구,국공립,대봉서한어린이집,053-422-0707,대구광역시 중구 명덕로 241
대구광역시,중구,국공립,대신e편한어린이집,053-423-5700,"대구광역시 중구 달구벌대로 1943 (대신동,이편한세상대신)"
대구광역시,중구,민간,밤비니어린이집,053-255-3237,"대구광역시 중구 달구벌대로 1955 , 107동 1층 (대신동, 대신센트럴자이)"
대구광역시,중구,가정,태왕아이사랑어린이집,053-215-7004,"대구광역시 중구 달구벌대로 1975 , 105동 102호 (대신동,태왕아너스스카이)"
대구광역시,중구,국공립,센트럴동인어린이집,053-254-1238,"대구광역시 중구 국채보상로139길 40 동인동3가, 엑소디움 센트럴 동인"
대구광역시,중구,국공립,힐스테이트동인어린이집,053-256-5068,대구광역시 중구 태평로 240
대구광역시,중구,민간,칸타빌어린이집,053-719-4297,대구광역시 중구 태평로 224
대구광역시,중구,직장,경북대학교병원어린이집,053-261-1710,대구광역시 중구 국채보상로140길 24-7(동인동 2가)
대구광역시,중구,직장,대구광역시청어린이집,053-803-5638,대구광역시 중구 동덕로 182 (동인동1가)
대구광역시,중구,민간,삼덕청아람어린이집,053-252-5234,대구광역시 중구 삼덕동3가 달구벌대로447길 77 삼덕청아람리슈빌 내 의무보육시설
대구광역시,중구,국공립,힐스테이트어린이집,053-255-5520,대구광역시 중구 태평로28길 13
대구광역시,중구,가정,청라포레스트어린이집,053-213-3303,대구광역시 중구 달구벌대로 2021 1층
대구광역시,중구,국공립,달성파크어린이집,053-521-8011,대구광역시 중구 달성로 123
대구광역시,중구,국공립,도원센트럴어린이집,053-427-7433,대구광역시 중구 태평로 50
대구광역시,중구,국공립,제일풍경채어린이집,053-217-0771,대구광역시 중구 달성로26길 70
대구광역시,중구,민간,센트럴자이어린이집,053-252-1125,"대구광역시 중구 서성로 99 , 1층 보육시설(수창동, 대구역센트럴자이)"
대구광역시,동구,국공립,뉴웰시티꿈의숲어린이집,053-962-9970,"대구광역시 동구 동화천로77길 30 (지묘동, LH뉴웰시티)"
대구광역시,동구,국공립,아이파크라라어린이집,053-983-2323,"대구광역시 동구 동화천로 369 103동 1층(지묘동, 연경아이파크)"
대구광역시,동구,국공립,연경푸르미어린이집,053-982-0200,"대구광역시 동구 연경지묘로 153 203동 1층(지묘동, 연경LH천년나무2단지)"
대구광역시,동구,국공립,팔공보성어린이집,053-981-6700,"대구광역시 동구 파계로 71 (지묘동, 팔공3차보성타운)"
대구광역시,동구,민간,빛나는별어린이집,053-986-0909,대구광역시 동구 파계로6길 54-12 .
대구광역시,동구,가정,솔파란어린이집,053-213-8870,"대구광역시 동구 파계로 46 103동 105호(지묘동, 태왕그린힐즈아파트)"
대구광역시,동구,국공립,도동어린이집,053-983-7652,대구광역시 동구 팔공로26길 46 (도동)
대구광역시,동구,직장,광성어린이집,053-983-7962,대구광역시 동구 둔산로 311-1
대구광역시,동구,국공립,동촌태왕어린이집,053-984-9989,"대구광역시 동구 동촌로 100 (검사동, 태왕아너스르네상스)"
대구광역시,동구,국공립,봄어린이집,053-982-3669,대구광역시 동구 동촌로11길 5 동촌동행정복지센터 1층(입석동)
대구광역시,동구,사회복지법인,해안어린이집,053-981-9406,대구광역시 동구 방촌로 69 (검사동)
대구광역시,동구,민간,다사랑어린이집,053-984-0097,대구광역시 동구 동촌로6길 44-1 (검사동)
대구광역시,동구,민간,푸른하늘어린이집,053-985-4693,대구광역시 동구 방촌로1길 27-1 (검사동)
대구광역시,동구,가정,우리어린이집,053-986-3339,대구광역시 동구 동촌로 132-19 (검사동)
대구광역시,동구,사회복지법인,사회복지법인주홍어린이집,053-985-3636,대구광역시 동구 화랑로75길 25-3 (방촌동)
대구광역시,동구,민간,늘푸른어린이집,053-981-7383,대구광역시 동구 동촌로46길 3-3 (방촌동)
대구광역시,동구,민간,세리어린이집,053-961-7979,"대구광역시 동구 동촌로 260 104동(방촌동,방촌역세영리첼아파트)"
대구광역시,동구,가정,꼬마스쿨어린이집,053-983-1157,"대구광역시 동구 동촌로42길 63 202동 105호(방촌동, 영남네오빌2차)"
대구광역시,동구,가정,목련화어린이집,053-985-9334,"대구광역시 동구 동촌로 190 106동 109호(방촌동, 영남네오빌1차)"
대구광역시,동구,국공립,봉무어린이집,053-982-9829,대구광역시 동구 팔공로53길 36 (봉무동)
대구광역시,동구,국공립,이시아어린이집,053-984-0130,"대구광역시 동구 팔공로51길 10 303동 103호(봉무동,이시아폴리스더샵3차)"
대구광역시,동구,국공립,휴포레사랑어린이집,053-984-1500,"대구광역시 동구 팔공로 260 202동 1층(봉무동, 협성휴포레이시아폴리스)"
대구광역시,동구,사회복지법인,사회복지법인세명어린이집,053-984-4422,대구광역시 동구 팔공로23길 17-1 (불로동)
대구광역시,동구,민간,더샵드림어린이집,053-982-6029,"대구광역시 동구 팔공로51길 10 (봉무동, 이시아폴리스더샵3차 관리동)"
대구광역시,동구,민간,더샵어린이집,053-283-9400,대구광역시 동구 팔공로53길 10 이시아폴리스 더샵 1차
대구광역시,동구,민간,더샵인뮤즈어린이집,053-983-8833,대구광역시 동구 팔공로 274 봉무동 이시아폴리스 더샵 2차
대구광역시,동구,민간,더샵초록숲어린이집,053-259-0098,"대구광역시 동구 팔공로53길 40 408동 1층(봉무동, 이시아폴리스더샵4차)"
대구광역시,동구,국공립,동대구에일린의뜰어린이집,053-951-7942,"대구광역시 동구 아양로9길 35 (신암동,동대구에일린의뜰)"
대구광역시,동구,국공립,동대구해링턴어린이집,053-941-7379,"대구광역시 동구 경대로 126 (신암동,해링턴플레이스동대구)"
대구광역시,동구,민간,뜨란채어린이집,053-957-5004,"대구광역시 동구 아양로7길 12 103동(신암동, 신암뜨란채)"
대구광역시,동구,민간,에코어린이집,053-958-0822,대구광역시 동구 평화로 51
대구광역시,동구,직장,에코 파티마병원 직장어린이집,053-959-2268,대구광역시 동구 아양로15길 43 (신암동)
대구광역시,동구,국공립,동대구데시앙어린이집,053-944-1020,"대구광역시 동구 신암로20길 63 (신암동,동대구더센트로데시앙)"
대구광역시,동구,국공립,신천자이어린이집,053-283-2323,"대구광역시 동구 신암로16길 25 (신천동, 신천자이아파트)"
대구광역시,동구,민간,리틀하나린어린이집,053-957-3700,대구광역시 동구 신암로12길 55-1 (신천동)
대구광역시,동구,민간,보미어린이집,053-954-8330,"대구광역시 동구 신암로16길 16 106동(신천동, 신천가람타운)"
대구광역시,동구,민간,청아람어린이집,053-263-3066,"대구광역시 동구 신암로20길 39 104동(신암동, 신암청아람아파트)"
대구광역시,동구,민간,하나린어린이집,053-941-3700,대구광역시 동구 신암로12길 53 (신천동) 하나린어린이집
대구광역시,동구,가정,베베스쿨어린이집,053-745-0636,"대구광역시 동구 신암로16길 16 107동 102호(신천동, 신천가람타운)"
대구광역시,동구,가정,햇살나무어린이집,053-945-1150,"대구광역시 동구 신암로16길 25 105동102호(신천동,신천자이)"
대구광역시,동구,국공립,센트럴나린어린이집,053-942-7942,"대구광역시 동구 동대구로 577 (신암동, 이안센트럴D)"
대구광역시,동구,국공립,아이유쉘키즈어린이집,053-941-7942,"대구광역시 동구 송라로32길 32 (신암동, 동대구우방아이유쉘)"
대구광역시,동구,국공립,이안동대구어린이집,053-951-2814,"대구광역시 동구 송라로28길 14 (신암동, 이안동대구)"
대구광역시,동구,사회복지법인,꿀벌어린이집,053-957-8846,대구광역시 동구 송라로28길 21-6 (신암동)
대구광역시,동구,민간,골드클래스어린이집,053-945-0980,"대구광역시 동구 신암남로 72 103동 1층(신암동, 동대구골드클래스)"
대구광역시,동구,민간,꿈꽃어린이집,053-943-6565,대구광역시 동구 송라로 110 (신암동)
대구광역시,동구,가정,캐스빌어린이집,053-955-3411,"대구광역시 동구 신암남로 50 108동 103호(신암동, 건영캐스빌)"
대구광역시,동구,직장,코레일 대구어린이집,053-945-5333,대구광역시 동구 동부로15길 89 (신암동)
대구광역시,동구,국공립,동대구화성파크큰별어린이집,053-243-2000,"대구광역시 동구 동대구로 590 104동(신암동,동대구역화성파크드림아파트)"
대구광역시,동구,국공립,센텀화성어린이집,053-719-3571,"대구광역시 동구 아양로 133 (신암돔, 동대구역센텀화성파크드림)"
대구광역시,동구,국공립,신암어린이집,053-939-0600,대구광역시 동구 신암남로 175-1 1층(신암동)
대구광역시,동구,국공립,해모로봄날어린이집,053-286-7942,"대구광역시 동구 동북로 340 (신암동,동대구해모로스퀘어웨스트)"
대구광역시,동구,사회복지법인,사회복지법인 동부어린이집,053-954-4033,대구광역시 동구 신암북로 81-3 (신암동)
대구광역시,동구,민간,아이사랑한솔어린이집,053-958-0713,대구광역시 동구 신암남로28길 50-3 (신암동)
대구광역시,동구,국공립,온뜨레피움어린이집,053-219-7770,대구광역시 동구 아양로 213-6
대구광역시,동구,국공립,해모로다원어린이집,053-943-2233,"대구광역시 동구 동북로75길 13 (신암동,동대구해모로스퀘어이스트)"
대구광역시,동구,직장,봄봄동구청직장어린이집,053-943-7553,대구광역시 동구 아양로41길 23-9 (신암동)
대구광역시,동구,사회복지법인,청구어린이집,053-421-2278,대구광역시 동구 송라로 3-6 (신천동)
대구광역시,동구,사회복지법인,청산어린이집,053-425-8066,대구광역시 동구 송라로3길 13-3 (신천동)
대구광역시,동구,민간,리버파크어린이집,053-422-3666,"대구광역시 동구 동부로 26 509동 단지내(신천동, 신천역센트럴리버파크)"
대구광역시,동구,민간,신천아이숲어린이집,053-423-3323,"대구광역시 동구 송라로11길 39 605동(신천동, 신천휴먼시아6단지)"
대구광역시,동구,가정,앙팡어린이집,053-424-7742,"대구광역시 동구 동부로 26 508동 101호(신천동, 신천역 센트럴리버파크)"
대구광역시,동구,국공립,동대구역센트럴시티자이어린이집,053-741-0123,"대구광역시 동구 송라로10길 33 (신천동,동대구역센트럴시티자이)"
대구광역시,동구,국공립,신천어린이집,053-742-8710,대구광역시 동구 송라로6길 22 (신천동)
대구광역시,동구,국공립,인(IN)반도유보라어린이집,053-716-0907,"대구광역시 동구 송라로16길 11 104동 (신천동, 동대구반도유보라)"
대구광역시,동구,사회복지법인,예일어린이집,053-743-8338,대구광역시 동구 동부로 67-1 (신천동)
대구광역시,동구,민간,더샵센터시티어린이집,053-759-3536,"대구광역시 동구 동부로19길 18 (신천동,동대구역더샵센터시티)"
대구광역시,동구,민간,유쉘본어린이집,053-745-0335,"대구광역시 동구 동부로 115 (신천동, 동대구역 우방아이유쉘)"
대구광역시,동구,민간,햇살어린이집,053-751-3690,대구광역시 동구 송라로14길 17 (신천동)
대구광역시,동구,국공립,더샵온어린이집,053-721-7407,"대구광역시 동구 화랑로 33 (신천동,더샵디어엘로)"
대구광역시,동구,국공립,아이비스타어린이집,053-741-5522,"대구광역시 동구 화랑로 51 (신천동,동대구비스타동원)"
대구광역시,동구,국공립,산들어린이집,053-963-6565,"대구광역시 동구 금호강변로3길 9 단지내(율하동, 율하휴먼시아15단지)"
대구광역시,동구,국공립,선우어린이집,053-963-3366,"대구광역시 동구 율하서로 59 507동 1층(율하동, 율하휴먼시아5단지)"
