출동서센터,출동차수,차량호수,차량동태,진행일시,관제일련번호,관제진행일시,관제내역
율하119안전센터,1,1000000857,현장도착보고,2024-08-01 0:03,5,2024-08-01 0:03,[율하119-율하구급(구급차)][AVL 입력자(율하구급)]현장도착보고
북부구급대,1,1000001076,현장도착보고,2024-08-01 0:07,5,2024-08-01 0:07,[북부구급대-북부특별1차(구급차)][AVL 입력자(북부특별1차)]현장도착보고
대현119안전센터,1,1000000688,현장도착보고,2024-08-01 0:00,29,2024-08-01 0:00,[대현119-대현탱크(탱크차)][AVL 입력자(대현탱크)]현장도착보고
대현119안전센터,1,1000000825,현장도착보고,2024-08-01 0:00,26,2024-08-01 0:00,[대현119-대현펌프(펌프차)][AVL 입력자(대현펌프)]현장도착보고
동부구조대,1,1000000580,현장도착보고,2024-08-01 0:02,37,2024-08-01 0:02,[동부구조대-동부구조공작(구조대차)][AVL 입력자(동부구조공작)]현장도착보고
복현119지역대,3,1000001242,출동보고,2024-08-01 0:01,34,2024-08-01 0:01,[복현지역대-복현펌프(카)(펌프차)][AVL 입력자(복현펌프(카))]출동보고
복현119지역대,3,1000001242,현장도착보고,2024-08-01 0:01,35,2024-08-01 0:01,[복현지역대-복현펌프(카)(펌프차)][AVL 입력자(복현펌프(카))]현장도착보고
현장지휘단,4,1000000761,현장도착보고,2024-08-01 0:01,32,2024-08-01 0:01,[현장지휘단-북부현장지휘(지휘차)][AVL 입력자(북부현장지휘)]현장도착보고
노원119안전센터,1,1000001253,현장도착보고,2024-08-01 0:14,4,2024-08-01 0:14,[노원119-노원구급(구급차)][AVL 입력자(노원구급)]현장도착보고
봉덕119안전센터,1,1000001158,현장도착보고,2024-08-01 0:05,5,2024-08-01 0:05,[봉덕119-봉덕구급(구급차)][AVL 입력자(봉덕구급)]현장도착보고
봉덕119안전센터,1,1000001158,출동보고,2024-08-01 0:01,4,2024-08-01 0:01,[봉덕119-봉덕구급(구급차)][AVL 입력자(봉덕구급)]출동보고
달서구급대,1,1000001255,현장도착보고,2024-08-01 0:07,6,2024-08-01 0:07,[달서구급대-달서본대1차(구급차)][AVL 입력자(달서본대1차)]현장도착보고
달서구급대,1,1000001255,출동보고,2024-08-01 0:02,4,2024-08-01 0:02,[달서구급대-달서본대1차(구급차)][AVL 입력자(달서본대1차)]출동보고
성명119안전센터,1,1000001026,출동보고,2024-08-01 0:04,4,2024-08-01 0:04,[성명119-성명구급(구급차)][AVL 입력자(성명구급)]출동보고
성명119안전센터,1,1000001026,현장도착보고,2024-08-01 0:08,5,2024-08-01 0:08,[성명119-성명구급(구급차)][AVL 입력자(성명구급)]현장도착보고
불로119안전센터,1,1000000739,현장도착보고,2024-08-01 0:11,7,2024-08-01 0:11,[불로119-불로구급(구급차)][AVL 입력자(불로구급)]현장도착보고
불로119안전센터,1,1000000739,출동보고,2024-08-01 0:08,6,2024-08-01 0:08,[불로119-불로구급(구급차)][AVL 입력자(불로구급)]출동보고
범물119안전센터,1,1000000864,출동보고,2024-08-01 0:10,12,2024-08-01 0:10,[범물119-범물탱크1차(탱크차)][AVL 입력자(범물탱크1차)]출동보고
범물119안전센터,1,1000000864,현장도착보고,2024-08-01 0:15,24,2024-08-01 0:15,[범물119-범물탱크1차(탱크차)]현장도착보고
범물119안전센터,1,1000000898,출동보고,2024-08-01 0:08,5,2024-08-01 0:08,[범물119-범물펌프(호)(펌프차)][AVL 입력자(범물펌프(호))]출동보고
범물119안전센터,1,1000000898,현장도착보고,2024-08-01 0:15,22,2024-08-01 0:15,[범물119-범물펌프(호)(펌프차)][AVL 입력자(범물펌프(호))]현장도착보고
상동119안전센터,1,1000000961,현장도착보고,2024-08-01 0:14,19,2024-08-01 0:14,[상동119-상동펌프(호)(펌프차)][AVL 입력자(상동펌프(호))]현장도착보고
상동119안전센터,1,1000000961,출동보고,2024-08-01 0:09,8,2024-08-01 0:09,[상동119-상동펌프(호)(펌프차)][AVL 입력자(상동펌프(호))]출동보고
상동119안전센터,1,1000000965,현장도착보고,2024-08-01 0:13,17,2024-08-01 0:13,[상동119-상동구급(수성예비)(구급차)][AVL 입력자(상동구급(수성예비))]현장도착보고
상동119안전센터,1,1000000965,출동보고,2024-08-01 0:09,10,2024-08-01 0:09,[상동119-상동구급(수성예비)(구급차)][AVL 입력자(상동구급(수성예비))]출동보고
수성구조대,1,1000000779,출동보고,2024-08-01 0:08,6,2024-08-01 0:08,[수성구조대-수성구조공작(구조대차)][AVL 입력자(수성구조공작)]출동보고
수성구조대,1,1000000779,현장도착보고,2024-08-01 0:14,18,2024-08-01 0:14,[수성구조대-수성구조공작(구조대차)][AVL 입력자(수성구조공작)]현장도착보고
수성구조대,2,1000001015,현장도착보고,2024-08-01 0:14,20,2024-08-01 0:14,[수성구조대-수성구조버스(구조대차)]현장도착보고
현장지휘단,1,1000000847,출동보고,2024-08-01 0:09,9,2024-08-01 0:09,[현장지휘단-수성화재조사(화재조사차)][AVL 입력자(수성화재조사)]출동보고
현장지휘단,1,1000000847,현장도착보고,2024-08-01 0:15,23,2024-08-01 0:15,[현장지휘단-수성화재조사(화재조사차)][AVL 입력자(수성화재조사)]현장도착보고
현장지휘단,1,1000001177,현장도착보고,2024-08-01 0:15,21,2024-08-01 0:15,[현장지휘단-수성현장지휘(지휘차)][AVL 입력자(수성현장지휘)]현장도착보고
현장지휘단,1,1000001177,출동보고,2024-08-01 0:08,7,2024-08-01 0:08,[현장지휘단-수성현장지휘(지휘차)][AVL 입력자(수성현장지휘)]출동보고
옥포119안전센터,1,1000000901,출동보고,2024-08-01 0:13,3,2024-08-01 0:13,"[옥포119-옥포펌프(호,구조대)(펌프차)][AVL 입력자(옥포펌프(호,구조대))]출동보고"
옥포119안전센터,1,1000000901,현장도착보고,2024-08-01 0:18,5,2024-08-01 0:18,"[옥포119-옥포펌프(호,구조대)(펌프차)][AVL 입력자(옥포펌프(호,구조대))]현장도착보고"
동촌119안전센터,1,1000001079,출동보고,2024-08-01 0:15,3,2024-08-01 0:15,[동촌119-동촌구급(구급차)][AVL 입력자(동촌구급)]출동보고
동촌119안전센터,1,1000001079,현장도착보고,2024-08-01 0:21,5,2024-08-01 0:21,[동촌119-동촌구급(구급차)][AVL 입력자(동촌구급)]현장도착보고
도원119안전센터,1,1000000723,출동보고,2024-08-01 0:16,4,2024-08-01 0:16,[도원119-도원펌프(호)(펌프차)][AVL 입력자(도원펌프(호))]출동보고
도원119안전센터,1,1000000723,현장도착보고,2024-08-01 0:22,7,2024-08-01 0:22,[도원119-도원펌프(호)(펌프차)][AVL 입력자(도원펌프(호))]현장도착보고
