동이름,65세이상_인구,0~9세_인구
중구 동인동,2071,620
중구 삼덕동,982,386
중구 성내1동,946,128
중구 성내2동,1381,681
중구 성내3동,1516,2122
중구 대신동,1715,570
중구 남산1동,1041,311
중구 남산2동,1273,733
중구 남산3동,1660,277
중구 남산4동,3572,1318
중구 대봉1동,1685,525
중구 대봉2동,1026,522
동구 신암1동,2840,837
동구 신암2동,2725,916
동구 신암3동,2291,1156
동구 신암4동,3939,1186
동구 신암5동,2245,387
동구 신천1.2동,3845,272
동구 신천3동,2742,1090
동구 신천4동,2298,900
동구 효목1동,4404,218
동구 효목2동,3955,670
동구 도평동,1213,63
동구 불로.봉무동,4313,1188
동구 지저동,4383,316
동구 동촌동,4452,438
동구 방촌동,5781,457
동구 해안동,4527,357
동구 안심1동,9832,1808
동구 안심2동,3672,1187
동구 안심3동,3524,1331
동구 안심4동,5646,1310
동구 혁신동,2264,1537
동구 공산동,6325,985
서구 내당1동,2980,1034
서구 내당2.3동,3017,155
서구 내당4동,4538,287
서구 비산1동,2790,132
서구 비산2.3동,3203,115
서구 비산4동,2886,144
서구 비산5동,1968,84
서구 비산6동,2322,105
서구 비산7동,2922,302
서구 평리1동,2261,105
서구 평리2동,2018,239
서구 평리3동,3249,738
서구 평리4동,4324,501
서구 평리5동,1387,1533
서구 평리6동,1297,355
서구 상중이동,4985,512
서구 원대동,2808,460
남구 이천동,3654,920
남구 봉덕1동,2570,159
남구 봉덕2동,3479,933
남구 봉덕3동,4497,422
남구 대명1동,2803,201
남구 대명2동,3051,837
남구 대명3동,3338,380
남구 대명4동,3195,188
남구 대명5동,1723,532
남구 대명6동,2737,439
남구 대명9동,3850,300
남구 대명10동,2738,133
남구 대명11동,2708,137
북구 고성동,1550,2087
북구 칠성동,4431,1554
북구 침산1동,1291,83
북구 침산2동,2950,1376
북구 침산3동,4083,988
북구 산격1동,3247,86
북구 산격2동,2724,275
북구 산격3동,1968,129
북구 산격4동,2375,119
북구 대현동,4376,447
북구 복현1동,1224,90
북구 복현2동,5550,1646
북구 검단동,2042,113
북구 무태조야동,6406,1884
북구 관문동,6116,2425
북구 태전1동,4911,691
북구 태전2동,5209,851
북구 구암동,5329,1186
북구 관음동,3826,367
북구 읍내동,5601,1081
북구 동천동,3580,1195
북구 노원동,3332,446
북구 국우동,4120,1720
수성구 범어1동,3115,2330
수성구 범어2동,2685,1050
수성구 범어3동,2007,1723
수성구 범어4동,2109,1305
수성구 만촌1동,4967,1216
수성구 만촌2동,2454,691
수성구 만촌3동,2532,1393
수성구 수성1가동,4108,901
수성구 수성2.3가동,2169,653
수성구 수성4가동,3494,431
수성구 황금1동,3625,1561
수성구 황금2동,2559,699
수성구 중동,2787,1160
수성구 상동,4170,488
수성구 파동,4123,1172
수성구 두산동,2666,866
수성구 지산1동,5810,400
수성구 지산2동,5005,739
수성구 범물1동,4345,159
수성구 범물2동,3818,728
수성구 고산1동,5573,1724
수성구 고산2동,5290,1542
수성구 고산3동,6195,1188
달서구 성당동,5798,713
달서구 두류1.2동,4093,662
달서구 두류3동,2485,336
달서구 감삼동,5158,2373
달서구 죽전동,3255,706
달서구 장기동,3323,751
달서구 용산1동,5327,1071
달서구 용산2동,5138,779
달서구 이곡1동,3839,664
달서구 이곡2동,3566,422
달서구 신당동,5854,682
달서구 본리동,3909,1725
달서구 월성1동,3880,3285
달서구 월성2동,5251,247
달서구 진천동,10443,2863
달서구 유천동,2400,4245
달서구 상인1동,7115,1571
달서구 상인2동,4082,630
달서구 상인3동,4291,130
달서구 도원동,8549,1026
달서구 송현1동,4963,391
달서구 송현2동,5635,654
달서구 본동,3322,496
달성군 화원읍,11269,2156
달성군 논공읍,3760,527
달성군 다사읍,12696,7980
달성군 유가읍,3138,3540
달성군 옥포읍,5720,1488
달성군 현풍읍,4180,1398
달성군 가창면,3011,154
달성군 하빈면,1494,34
달성군 구지면,2731,2183
군위군 군위읍,2923,269
군위군 소보면,1274,27
군위군 효령면,1986,58
군위군 부계면,1128,25
군위군 우보면,1147,22
군위군 의흥면,1329,23
군위군 산성면,729,18
군위군 삼국유사면,802,4
