행정동,VDI,65세이상,0-9세,취약인구합계,최근접병원,최근접거리km
중구 삼덕동,173.23,982,386,1368,경북대학교병원,0.135
중구 성내1동,607.88,943,128,1071,경북대학교병원,0.764
중구 성내2동,121.68,1381,674,2055,곽병원,0.061
중구 성내3동,1962.99,1499,2109,3608,곽병원,0.723
중구 대신동,1216.77,1701,567,2268,대구굿모닝병원,0.71
중구 남산1동,1087.13,1041,307,1348,곽병원,1.24
중구 남산2동,1091.68,1264,734,1998,곽병원,0.727
중구 남산3동,1540.4,1648,277,1925,곽병원,1.226
중구 남산4동,3162.46,3567,1332,4899,대구굿모닝병원,0.907
중구 대봉1동,1247.77,1681,524,2205,경북대학교병원,0.761
중구 대봉2동,1149.27,1029,525,1554,경북대학교병원,1.095
중구 동인동,1094.29,2075,615,2690,경북대학교병원,0.502
동구 신암1동,1614.71,2839,840,3679,대구파티마병원,0.551
동구 신암2동,3088.18,2715,923,3638,대구파티마병원,1.337
동구 신암3동,1590.77,2281,1154,3435,대구파티마병원,0.589
동구 신암4동,1560.76,3933,1192,5125,대구파티마병원,0.356
동구 신암5동,1875.46,2244,392,2636,대구파티마병원,1.037
동구 신천1·2동,3180.26,3830,275,4105,경북대학교병원,1.17
동구 신천3동,3202.12,2726,1077,3803,대구파티마병원,1.321
동구 신천4동,2716.32,2285,880,3165,대구파티마병원,1.359
동구 효목1동,4411.85,4391,217,4608,강남종합병원,1.605
동구 효목2동,4171.22,3942,669,4611,대구파티마병원,1.471
동구 도평동,2396.37,1214,63,1277,강남종합병원,5.531
동구 불로·봉무동,8521.33,4291,1192,5483,우리아이아동병원,3.731
동구 지저동,5280.09,4374,317,4691,우리아이아동병원,2.082
동구 동촌동,4518.32,4454,443,4897,강남종합병원,1.516
동구 방촌동,2644.92,5768,461,6229,강남종합병원,0.529
동구 해안동,6254.16,4506,367,4873,강남종합병원,2.609
동구 공산동,17643.78,6279,986,7265,강남종합병원,10.343
동구 안심1동,3212.84,9788,1816,11604,율하연합소아청소년과의원,0.319
동구 안심2동,8498.76,3653,1186,4839,율하연합소아청소년과의원,4.791
동구 안심4동,8186.49,5616,1326,6942,율하연합소아청소년과의원,2.252
서구 내당1동,2755.93,2968,1034,4002,대구굿모닝병원,0.991
서구 내당2·3동,298.59,3013,150,3163,대구굿모닝병원,0.099
서구 내당4동,3056.84,4517,293,4810,더블유병원,0.888
서구 비산1동,3002.42,2774,136,2910,대구굿모닝병원,1.806
서구 비산2·3동,2614.94,3197,110,3307,대구굿모닝병원,1.205
서구 비산4동,1091.01,2875,140,3015,대구굿모닝병원,0.436
서구 비산5동,2425.27,1964,83,2047,대구굿모닝병원,2.27
서구 비산6동,1797.46,2314,104,2418,대구굿모닝병원,1.103
서구 비산7동,4472.12,2910,289,3199,대구굿모닝병원,3.047
서구 평리1동,1928.55,2259,114,2373,대구굿모닝병원,1.254
서구 평리2동,1098.98,2010,245,2255,대구굿모닝병원,0.628
서구 평리3동,3779.24,3227,741,3968,대구굿모닝병원,1.592
서구 평리4동,3834.28,4298,499,4797,대구굿모닝병원,1.224
서구 평리5동,2849.19,1367,1521,2888,대구의료원,1.682
서구 평리6동,1986.23,1292,355,1647,대구의료원,2.34
서구 상중이동,5200.52,4972,524,5496,대구의료원,1.576
서구 원대동,3379.97,2782,466,3248,곽병원,1.831
남구 이천동,4313.07,3642,918,4560,영남대학교병원,1.575
남구 봉덕1동,2123.35,2562,161,2723,영남대학교병원,1.181
남구 봉덕2동,5793.57,3463,930,4393,드림종합병원,2.739
남구 봉덕3동,5013.25,4500,424,4924,영남대학교병원,1.768
남구 대명1동,1012.45,2785,205,2990,드림종합병원,0.403
남구 대명2동,2040.38,3039,832,3871,영남대학교병원,0.694
남구 대명3동,2270.99,3291,359,3650,영남대학교병원,0.863
남구 대명4동,1399.47,3187,198,3385,대구가톨릭대학교병원,0.512
남구 대명5동,538.84,1721,526,2247,영남대학교병원,0.271
남구 대명6동,2513.94,2729,443,3172,드림종합병원,1.209
남구 대명9동,3513.23,3838,307,4145,드림종합병원,1.334
남구 대명10동,751.7,2744,138,2882,대구가톨릭대학교병원,0.298
남구 대명11동,1466.6,2702,138,2840,한영한마음아동병원,0.676
북구 고성동,2880.26,1541,2087,3628,곽병원,1.212
북구 칠성동,4753.07,4398,1512,5910,곽병원,1.235
북구 침산1동,1911.87,1287,84,1371,우리아이아동병원,3.033
북구 침산2동,4691.48,2945,1389,4334,곽병원,1.952
북구 침산3동,6199.36,4050,994,5044,곽병원,2.418
북구 산격1동,3446.4,3237,85,3322,우리아이아동병원,1.822
북구 산격2동,2783.64,2717,273,2990,우리아이아동병원,1.537
북구 산격3동,1150.95,1962,129,2091,우리아이아동병원,0.734
북구 산격4동,2065.7,2364,120,2484,우리아이아동병원,1.297
북구 복현1동,274.57,1226,90,1316,우리아이아동병원,0.232
북구 복현2동,3601.75,5530,1645,7175,우리아이아동병원,0.652
북구 검단동,2674.28,2031,115,2146,우리아이아동병원,2.477
북구 무태조야동,13336.95,6371,1925,8296,칠곡경북대학교병원,3.991
